timestamp,agent.name,rule.id,rule.level,rule.description,data.win.system.channel,data.win.system.message
"Apr 26, 2025 @ 14:08:45.088","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:08:43.313\r\nProcessGuid: {26d71978-212b-680d-1405-000000000600}\r\nProcessId: 8920\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_vmqigotg.adc.ps1\r\nCreationUtcTime: 2025-04-26 18:08:43.313\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:07:50.063","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:07:48.736\r\nProcessGuid: {26d71978-20f4-680d-1305-000000000600}\r\nProcessId: 7216\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_xddvlfzo.kva.ps1\r\nCreationUtcTime: 2025-04-26 18:07:48.736\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:07:47.417","host1_windows1","92200","6","Scripting file created under Windows Temp or User folder","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.007,technique_name=JavaScript\r\nUtcTime: 2025-04-26 18:07:45.757\r\nProcessGuid: {26d71978-20e3-680d-0e05-000000000600}\r\nProcessId: 1244\r\nImage: C:\Program Files\Mozilla Firefox\firefox.exe\r\nTargetFilename: C:\Users\usach\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\zcdqlvtt.MozillaBackgroundTask-308046B0AF4A39CB-defaultagent\prefs-1.js\r\nCreationUtcTime: 2025-04-26 18:07:35.566\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:07:47.387","host1_windows1","92200","6","Scripting file created under Windows Temp or User folder","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.007,technique_name=JavaScript\r\nUtcTime: 2025-04-26 18:07:45.757\r\nProcessGuid: {26d71978-20e3-680d-0e05-000000000600}\r\nProcessId: 1244\r\nImage: C:\Program Files\Mozilla Firefox\firefox.exe\r\nTargetFilename: C:\Users\usach\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\zcdqlvtt.MozillaBackgroundTask-308046B0AF4A39CB-defaultagent\prefs-1.js\r\nCreationUtcTime: 2025-04-26 18:07:35.566\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:07:41.288","host1_windows1","60106","3","Windows Logon Success","Security","""Se inició sesión correctamente en una cuenta.\r\n\r\nFirmante:\r\n	Id. de seguridad:		S-1-5-18\r\n	Nombre de cuenta:		DESKTOP-V0J3BBT$\r\n	Dominio de cuenta:		WORKGROUP\r\n	Id. de inicio de sesión:		0x3E7\r\n\r\nInformación de inicio de sesión:\r\n	Tipo de inicio de sesión:		5\r\n	Modo de administrador restringido:	-\r\n	Credential Guard remota:	-\r\n	Cuenta virtual:		No\r\n	Token elevado:		Sí\r\n\r\nNivel de suplantación:		Suplantación\r\n\r\nNuevo inicio de sesión:\r\n	Id. de seguridad:		S-1-5-18\r\n	Nombre de cuenta:		SYSTEM\r\n	Dominio de cuenta:		NT AUTHORITY\r\n	Id. de inicio de sesión:		0x3E7\r\n	Inicio de sesión vinculado:		0x0\r\n	Nombre de cuenta de red:	-\r\n	Dominio de cuenta de red:	-\r\n	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}\r\n\r\nInformación de proceso:\r\n	Id. de proceso:		0x33c\r\n	Nombre de proceso:		C:\Windows\System32\services.exe\r\n\r\nInformación de red:\r\n	Nombre de estación de trabajo:	-\r\n	Dirección de red de origen:	-\r\n	Puerto de origen:		-\r\n\r\nInformación de autenticación detallada:\r\n	Proceso de inicio de sesión:		Advapi  \r\n	Paquete de autenticación:	Negotiate\r\n	Servicios transitados:	-\r\n	Nombre de paquete (solo NTLM):	-\r\n	Longitud de clave:		0\r\n\r\nEste evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.\r\n\r\nLos campos de firmante indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.\r\n\r\nEl campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).\r\n\r\nLos campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.\r\n\r\nLos campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.\r\n\r\nEl campo de nivel de suplantación indica en qué medida un proceso en la sesión de inicio de sesión puede suplantar.\r\n\r\nLos campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.\r\n	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.\r\n	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.\r\n	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.\r\n	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."""
"Apr 26, 2025 @ 14:07:37.235","host1_windows1","60106","3","Windows Logon Success","Security","""Se inició sesión correctamente en una cuenta.\r\n\r\nFirmante:\r\n	Id. de seguridad:		S-1-5-18\r\n	Nombre de cuenta:		DESKTOP-V0J3BBT$\r\n	Dominio de cuenta:		WORKGROUP\r\n	Id. de inicio de sesión:		0x3E7\r\n\r\nInformación de inicio de sesión:\r\n	Tipo de inicio de sesión:		5\r\n	Modo de administrador restringido:	-\r\n	Credential Guard remota:	-\r\n	Cuenta virtual:		No\r\n	Token elevado:		Sí\r\n\r\nNivel de suplantación:		Suplantación\r\n\r\nNuevo inicio de sesión:\r\n	Id. de seguridad:		S-1-5-18\r\n	Nombre de cuenta:		SYSTEM\r\n	Dominio de cuenta:		NT AUTHORITY\r\n	Id. de inicio de sesión:		0x3E7\r\n	Inicio de sesión vinculado:		0x0\r\n	Nombre de cuenta de red:	-\r\n	Dominio de cuenta de red:	-\r\n	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}\r\n\r\nInformación de proceso:\r\n	Id. de proceso:		0x33c\r\n	Nombre de proceso:		C:\Windows\System32\services.exe\r\n\r\nInformación de red:\r\n	Nombre de estación de trabajo:	-\r\n	Dirección de red de origen:	-\r\n	Puerto de origen:		-\r\n\r\nInformación de autenticación detallada:\r\n	Proceso de inicio de sesión:		Advapi  \r\n	Paquete de autenticación:	Negotiate\r\n	Servicios transitados:	-\r\n	Nombre de paquete (solo NTLM):	-\r\n	Longitud de clave:		0\r\n\r\nEste evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.\r\n\r\nLos campos de firmante indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.\r\n\r\nEl campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).\r\n\r\nLos campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.\r\n\r\nLos campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.\r\n\r\nEl campo de nivel de suplantación indica en qué medida un proceso en la sesión de inicio de sesión puede suplantar.\r\n\r\nLos campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.\r\n	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.\r\n	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.\r\n	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.\r\n	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."""
"Apr 26, 2025 @ 14:07:36.869","host1_windows1","92200","6","Scripting file created under Windows Temp or User folder","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.007,technique_name=JavaScript\r\nUtcTime: 2025-04-26 18:07:35.567\r\nProcessGuid: {26d71978-20e3-680d-0e05-000000000600}\r\nProcessId: 1244\r\nImage: C:\Program Files\Mozilla Firefox\firefox.exe\r\nTargetFilename: C:\Users\usach\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\zcdqlvtt.MozillaBackgroundTask-308046B0AF4A39CB-defaultagent\prefs-1.js\r\nCreationUtcTime: 2025-04-26 18:07:35.566\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:07:36.856","host1_windows1","92200","6","Scripting file created under Windows Temp or User folder","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.007,technique_name=JavaScript\r\nUtcTime: 2025-04-26 18:07:35.566\r\nProcessGuid: {26d71978-20e3-680d-0e05-000000000600}\r\nProcessId: 1244\r\nImage: C:\Program Files\Mozilla Firefox\firefox.exe\r\nTargetFilename: C:\Users\usach\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\zcdqlvtt.MozillaBackgroundTask-308046B0AF4A39CB-defaultagent\prefs-1.js\r\nCreationUtcTime: 2025-04-26 18:07:35.566\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:07:36.640","host1_windows1","61104","3","Service startup type was changed","System","""El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio por solicitud a inicio automático."""
"Apr 26, 2025 @ 14:07:36.131","host1_windows1","60106","3","Windows Logon Success","Security","""Se inició sesión correctamente en una cuenta.\r\n\r\nFirmante:\r\n	Id. de seguridad:		S-1-5-18\r\n	Nombre de cuenta:		DESKTOP-V0J3BBT$\r\n	Dominio de cuenta:		WORKGROUP\r\n	Id. de inicio de sesión:		0x3E7\r\n\r\nInformación de inicio de sesión:\r\n	Tipo de inicio de sesión:		5\r\n	Modo de administrador restringido:	-\r\n	Credential Guard remota:	-\r\n	Cuenta virtual:		No\r\n	Token elevado:		Sí\r\n\r\nNivel de suplantación:		Suplantación\r\n\r\nNuevo inicio de sesión:\r\n	Id. de seguridad:		S-1-5-18\r\n	Nombre de cuenta:		SYSTEM\r\n	Dominio de cuenta:		NT AUTHORITY\r\n	Id. de inicio de sesión:		0x3E7\r\n	Inicio de sesión vinculado:		0x0\r\n	Nombre de cuenta de red:	-\r\n	Dominio de cuenta de red:	-\r\n	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}\r\n\r\nInformación de proceso:\r\n	Id. de proceso:		0x33c\r\n	Nombre de proceso:		C:\Windows\System32\services.exe\r\n\r\nInformación de red:\r\n	Nombre de estación de trabajo:	-\r\n	Dirección de red de origen:	-\r\n	Puerto de origen:		-\r\n\r\nInformación de autenticación detallada:\r\n	Proceso de inicio de sesión:		Advapi  \r\n	Paquete de autenticación:	Negotiate\r\n	Servicios transitados:	-\r\n	Nombre de paquete (solo NTLM):	-\r\n	Longitud de clave:		0\r\n\r\nEste evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.\r\n\r\nLos campos de firmante indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.\r\n\r\nEl campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).\r\n\r\nLos campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.\r\n\r\nLos campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.\r\n\r\nEl campo de nivel de suplantación indica en qué medida un proceso en la sesión de inicio de sesión puede suplantar.\r\n\r\nLos campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.\r\n	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.\r\n	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.\r\n	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.\r\n	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."""
"Apr 26, 2025 @ 14:06:53.922","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:06:52.188\r\nProcessGuid: {26d71978-20bc-680d-0a05-000000000600}\r\nProcessId: 2340\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_s25l2obh.udo.ps1\r\nCreationUtcTime: 2025-04-26 18:06:52.188\r\nUser: DESKTOP-V0J3BBT\usach"""
